price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus,Access to shopping malls,access to schools,hospitals nearby,restuarants nearby,Property age housin,crimerates,place of worship
5040000,7600,4,1,2,yes,no,no,no,yes,2,no,furnished,9,8,2,9,1,high,3
5040000,10700,3,1,2,yes,yes,yes,no,no,0,no,semi-furnished,8,1,2,0,1,low ,6
5040000,6600,3,1,1,yes,yes,yes,no,no,0,yes,furnished,0,6,1,3,1,low ,2
5033000,4800,2,1,1,yes,yes,yes,no,no,0,no,semi-furnished,1,5,1,7,3,low ,8
5005000,8150,3,2,1,yes,yes,yes,no,no,0,no,semi-furnished,7,7,1,3,5,low ,2
4970000,4410,4,3,2,yes,no,yes,no,no,2,no,semi-furnished,8,9,3,1,7,high,9
4970000,7686,3,1,1,yes,yes,yes,yes,no,0,no,semi-furnished,9,5,5,2,4,high,0
4956000,2800,3,2,2,no,no,yes,no,yes,1,no,semi-furnished,4,3,7,4,5,low ,3
4935000,5948,3,1,2,yes,no,no,no,yes,0,no,semi-furnished,4,7,4,2,4,low ,7
4907000,4200,3,1,2,yes,no,no,no,no,1,no,furnished,4,1,5,4,1,low ,5
4900000,4520,3,1,2,yes,no,yes,no,yes,0,no,semi-furnished,4,7,4,7,3,low ,7
4900000,4095,3,1,2,no,yes,yes,no,yes,0,no,semi-furnished,7,8,1,4,1,high,9
4900000,4120,2,1,1,yes,no,yes,no,no,1,no,semi-furnished,7,8,3,7,6,high,5
4900000,5400,4,1,2,yes,no,no,no,no,0,no,semi-furnished,8,9,1,6,9,high,3
4900000,4770,3,1,1,yes,yes,yes,no,no,0,no,semi-furnished,4,9,6,7,2,high,7
4900000,6300,3,1,1,yes,no,no,no,yes,2,no,semi-furnished,6,4,9,7,7,low ,1
4900000,5800,2,1,1,yes,yes,yes,no,yes,0,no,semi-furnished,9,7,2,9,4,high,7
4900000,3000,3,1,2,yes,no,yes,no,yes,0,no,semi-furnished,7,5,7,0,8,high,8
4900000,2970,3,1,3,yes,no,no,no,no,0,no,semi-furnished,7,3,4,7,3,low ,8
4900000,6720,3,1,1,yes,no,no,no,no,0,no,unfurnished,6,4,8,5,6,low ,9
4900000,4646,3,1,2,yes,yes,yes,no,no,2,no,semi-furnished,9,7,3,2,2,high,9
4900000,12900,3,1,1,yes,no,no,no,no,2,no,furnished,9,5,6,2,8,high,4
4893000,3420,4,2,2,yes,no,yes,no,yes,2,no,semi-furnished,4,3,2,7,2,low ,7
4893000,4995,4,2,1,yes,no,yes,no,no,0,no,semi-furnished,9,6,8,4,9,low ,5
4865000,4350,2,1,1,yes,no,yes,no,no,0,no,unfurnished,4,7,2,6,0,low ,3
4830000,4160,3,1,3,yes,no,no,no,no,0,no,unfurnished,7,4,9,7,3,low ,4
4830000,6040,3,1,1,yes,no,no,no,no,2,yes,semi-furnished,5,3,0,8,7,low ,7
4830000,6862,3,1,2,yes,no,no,no,yes,2,yes,furnished,3,6,3,5,3,low ,5
4830000,4815,2,1,1,yes,no,no,no,yes,0,yes,semi-furnished,4,7,7,5,1,high,3
4795000,7000,3,1,2,yes,no,yes,no,no,0,no,unfurnished,7,9,3,4,2,low ,6
4795000,8100,4,1,4,yes,no,yes,no,yes,2,no,semi-furnished,5,6,1,1,5,high,7
4767000,3420,4,2,2,yes,no,no,no,no,0,no,semi-furnished,3,3,2,6,1,low ,4
4760000,9166,2,1,1,yes,no,yes,no,yes,2,no,semi-furnished,6,1,5,5,4,low ,3
4760000,6321,3,1,2,yes,no,yes,no,yes,1,no,furnished,7,3,1,7,2,low ,6
4760000,10240,2,1,1,yes,no,no,no,yes,2,yes,unfurnished,4,5,4,9,7,low ,7
4753000,6440,2,1,1,yes,no,no,no,yes,3,no,semi-furnished,3,7,2,5,4,high,9
4690000,5170,3,1,4,yes,no,no,no,yes,0,no,semi-furnished,6,4,7,3,8,high,6
4690000,6000,2,1,1,yes,no,yes,no,yes,1,no,furnished,7,8,4,7,3,low ,3
4690000,3630,3,1,2,yes,no,no,no,no,2,no,semi-furnished,9,7,8,1,6,low ,1
4690000,9667,4,2,2,yes,yes,yes,no,no,1,no,semi-furnished,6,4,3,7,2,low ,3
4690000,5400,2,1,2,yes,no,no,no,no,0,yes,semi-furnished,3,6,6,8,8,low ,5
4690000,4320,3,1,1,yes,no,no,no,no,0,yes,semi-furnished,1,4,2,8,2,high,7
4655000,3745,3,1,2,yes,no,yes,no,no,0,no,furnished,3,4,8,9,9,high,4
4620000,4160,3,1,1,yes,yes,yes,no,yes,0,no,unfurnished,5,2,2,9,0,high,8
4620000,3880,3,2,2,yes,no,yes,no,no,2,no,semi-furnished,7,4,9,8,3,high,7
4620000,5680,3,1,2,yes,yes,no,no,yes,1,no,semi-furnished,4,7,5,0,7,low ,4
4620000,2870,2,1,2,yes,yes,yes,no,no,0,yes,semi-furnished,8,4,7,1,3,high,6
4620000,5010,3,1,2,yes,no,yes,no,no,0,no,semi-furnished,7,7,9,7,1,low ,5
4613000,4510,4,2,2,yes,no,yes,no,no,0,no,semi-furnished,4,6,5,8,2,low ,7
4585000,4000,3,1,2,yes,no,no,no,no,1,no,furnished,6,7,3,9,5,high,9
4585000,3840,3,1,2,yes,no,no,no,no,1,yes,semi-furnished,4,7,7,4,1,high,5
4550000,3760,3,1,1,yes,no,no,no,no,2,no,semi-furnished,4,9,1,4,4,low ,3
4550000,3640,3,1,2,yes,no,no,no,yes,0,no,furnished,2,0,7,4,0,low ,7
4550000,2550,3,1,2,yes,no,yes,no,no,0,no,furnished,4,7,8,4,0,low ,1
4550000,5320,3,1,2,yes,yes,yes,no,no,0,yes,semi-furnished,7,5,8,7,0,high,7
4550000,5360,3,1,2,yes,no,no,no,no,2,yes,unfurnished,4,2,9,7,2,low ,8
4550000,3520,3,1,1,yes,no,no,no,no,0,yes,semi-furnished,7,2,9,8,0,high,8
4550000,8400,4,1,4,yes,no,no,no,no,3,no,unfurnished,6,7,4,4,3,high,9
4543000,4100,2,2,1,yes,yes,yes,no,no,0,no,semi-furnished,7,4,7,6,0,low ,9
4543000,4990,4,2,2,yes,yes,yes,no,no,0,yes,furnished,7,6,5,9,0,high,4
4515000,3510,3,1,3,yes,no,no,no,no,0,no,semi-furnished,9,7,3,7,0,low ,7
4515000,3450,3,1,2,yes,no,yes,no,no,1,no,semi-furnished,0,8,4,7,1,high,5
4515000,9860,3,1,1,yes,no,no,no,no,0,no,semi-furnished,7,5,7,6,0,low ,3
4515000,3520,2,1,2,yes,no,no,no,no,0,yes,furnished,5,5,5,4,0,high,4
4480000,4510,4,1,2,yes,no,no,no,yes,2,no,semi-furnished,2,4,3,2,2,high,7
4480000,5885,2,1,1,yes,no,no,no,yes,1,no,unfurnished,2,1,6,4,1,low ,5
4480000,4000,3,1,2,yes,no,no,no,no,2,no,furnished,7,6,7,7,2,low ,3
4480000,8250,3,1,1,yes,no,no,no,no,0,no,furnished,4,5,4,4,0,high,6
4480000,4040,3,1,2,yes,no,no,no,no,1,no,semi-furnished,6,7,3,7,1,high,7
4473000,6360,2,1,1,yes,no,yes,no,yes,1,no,furnished,7,9,6,6,1,low ,4
4473000,3162,3,1,2,yes,no,no,no,yes,1,no,furnished,8,5,7,7,1,low ,3
4473000,3510,3,1,2,yes,no,no,no,no,0,no,semi-furnished,5,3,9,7,0,low ,6
4445000,3750,2,1,1,yes,yes,yes,no,no,0,no,semi-furnished,5,7,6,9,0,low ,7
4410000,3968,3,1,2,no,no,no,no,no,0,no,semi-furnished,4,1,3,0,0,low ,9
4410000,4900,2,1,2,yes,no,yes,no,no,0,no,semi-furnished,1,7,1,7,0,low ,6
4403000,2880,3,1,2,yes,no,no,no,no,0,yes,semi-furnished,6,8,3,5,0,high,3
4403000,4880,3,1,1,yes,no,no,no,no,2,yes,unfurnished,5,8,5,2,2,low ,1
4403000,4920,3,1,2,yes,no,no,no,no,1,no,semi-furnished,7,9,7,2,1,high,3
4382000,4950,4,1,2,yes,no,no,no,yes,0,no,semi-furnished,9,9,4,7,0,low ,5
4375000,3900,3,1,2,yes,no,no,no,no,0,no,unfurnished,5,8,8,4,0,low ,7
4340000,4500,3,2,3,yes,no,no,yes,no,1,no,furnished,3,0,7,6,1,low ,4
4340000,1905,5,1,2,no,no,yes,no,no,0,no,semi-furnished,7,1,4,7,0,low ,8
4340000,4075,3,1,1,yes,yes,yes,no,no,2,no,semi-furnished,1,7,6,8,2,high,7
4340000,3500,4,1,2,yes,no,no,no,no,2,no,furnished,7,8,4,5,2,high,4
4340000,6450,4,1,2,yes,no,no,no,no,0,no,semi-furnished,8,9,4,5,0,low ,6
